PostalCode,Neighborhood,District,Latitude,Longitude
400011,Haines Road,Mumbai,18.9387711,72.8353355
400034,Hajiali,Mumbai,18.9387711,72.8353355
400057,Hanuman Road,Mumbai,19.1000657,72.8453556
400032,High Court bulding,Mumbai,18.9387711,72.8353355
400005,Holiday Camp,Mumbai,18.9387711,72.8353355
400056,Irla,Mumbai,18.990907749999998,73.0652997979168
400095,Ins Hamla,Mumbai,19.189633,72.81846
400099,International Airport,Mumbai,19.1030656,72.8635601180166
400059,J.B. nagar,Mumbai,19.11384915635653,72.86898985034006
400008,J.J.hospital,Mumbai,18.9387711,72.8353355
400011,Jacob Circle,Mumbai,18.9387711,72.8353355
400060,Jogeshwari East,Mumbai,19.136493898983797,72.8581677536538
400102,Jogeshwari West,Mumbai,19.1459793,72.8451792
400049,Juhu,Mumbai,19.1022358,72.8368756
400033,Kalachowki,Mumbai,18.9387711,72.8353355
400002,Kalbadevi,Mumbai,18.9387711,72.8353355
400008,Kamathipura,Mumbai,18.9387711,72.8353355
400101,Kandivali East,Mumbai,19.2074875,72.86627613604665
400067,Kandivali West,Mumbai,19.20772265,72.8373895553008
400016,Kapad Bazar,Mumbai,18.9387711,72.8353355
400068,Ketkipada,Mumbai,19.24915135430287,72.8595244376986
